value,text,agreement,definition,opposite,upper,level,source
Extravagance,I never abuse my credit.,-1,"Extravagant with their money, energy. And feelings. Gallant, flamboyant and unrestrained. Prefer to spend money than to save it.",, Novelty Seeking ,,IPIP
Resourcefulness,I am good at many things.,1,"Resourceful and effective. Productive, proactive, competent and innovative individuals. Rarely lack ideas.",, Self-directedness ,,IPIP
Sympathy,I am concerned about others.,1,The tendency to understand and care about somebody’s problems.,,Agreeableness,,value_orientation
Complexity,I am not interested in abstract ideas.,-1,Seeks intricate solutions to problems; is impatient with oversimplification; is interested in pursuing topics in depth regardless of their difficulty; enjoys abstract thought; enjoys intricacy.,,Analytical,,value_orientation
Drive,I go out of my way to get things I want.,1,Pertain to the persistent pursuit of desired goals.,,Behavioral Approach System,,value_orientation
Self-discipline,I am exacting in my work.,1,"Self restraint, resistance to temptation",,Conformity,,IPIP
Orderliness,I dislike routine.,-1,"The quality of being arranged or organized in a neat, careful and logical way.",,Conscientiousness,,value_orientation
Desire to Gain Face,I hope people think that I can do better than most others.,1,Have social performance goes above and beyond social expectations on oneself,,Consciousness of Social Face,,value_orientation
Conformity,"I believe that people should do what they're told. I think people should follow rules at all times, even when no-one is watching.                                                                                         ",1,"The restraint of actions, inclinations, and impulses that are likely to upset or harm others and violate social expectations or norms.",,Conservation,,value_orientation
Compassion,I am indifferent to the feelings of others.,-1,"Compassionate, forgiving, charitable and benevolent; they don't enjoy revenge. ",,Cooperativeness,,IPIP
Responsibility,I believe that I am better than others.,-1,Feels a strong obligation to be honest and upright; experiences a sense of duty to other people; has a strong and inflexible conscience.,,Dependable,,value_orientation
Cooperativeness,I am not concerned with making a good impression.,-1,Is susceptible to social influence and group pressures; tends to modify behavior to be consistent with standards set by others; follows suit; fits in.,,Emotional,,value_orientation
Dependence,"When I suffer from a painful experience, I need someone to make me feel comfortable.",1,"Assesses one's need for emotional support from others. Low scorers feel self-assured and able to deal with problems without any help or advice, whereas high scorers want to share their difficulties with those who will provide encouragement and comfort.",,Emotionality,,value_orientation
Friendliness,I act comfortably with others.,1,The quality of being helpful and easy to use or of helping somebody/something or not harming them/it.,,Extraversion,,value_orientation
Dominance,I am not highly motivated to succeed.,-1,Attempts to control environment and to influence or direct other people; expresses opinions forcefully; enjoys the role of leader and may assume it spontaneously.,,Extroversion,,value_orientation
Social Confidence,I am good at making impromptu speeches.,1,Confident in dealing with others; not easily embarrassed or influenced by others; shows presence in interpersonal situations; possesses aplomb.,,Extroverted,,value_orientation
Fate Determinism,Fate determines one's successes and failures.,1,The belief that individuals cannot change the path that fate has set.,,Fate Control,,value_orientation
Contradiction:Naive Dialecticism,It is more desirable to take the middle ground than go to extremes.,1,One resolves contradictions by pursuing a compromised middle ground. ,Contradiction:Formal Logic,Holistic Thinking,,value_orientation
Fairness,"If I knew that I could never get caught, I would be willing to steal a million dollars.",-1,"Assesses a tendency to avoid fraud and corruption. Low scorers are willing to gain by cheating or stealing, whereas high scorers are unwilling to take advantage of other individuals or of society at large.",,Honesty-Humility,,value_orientation
Autonomy,I can't do without the company of others.,-1,"Tries to break away from restraints, confinement, or restrictions of any kind; enjoys being unattached, free, not tied to people, places, or obligations; may be rebellious when faced with restraints.",,Independence,,value_orientation
Seriousness,I act wild and crazy.,-1,"Is subdued in thought, appearance, and manner; takes a serious approach to life and to work; does not seek fun or amusement; avoids frivolity and idle pursuits.",playfulness,Industriousness,,value_orientation
Depth,I enjoy examining myself and my life.,1,The ability to think seriously about something.,,Intellect,,value_orientation
Tradition,Respect for tradition is important to me.,1,Persons with respect for tradition and learning from the past.,,Long Term Orientation,,value_orientation
Order,I am continually losing things.,-1,"Concerned with keeping personal effects and surroundings neat and organized; dislikes clutter, confusion, lack of organization; interested in developing methods for keeping materials methodically organized.",,Methodicalness,,value_orientation
Preference for Predictability,I dislike unpredictable situations.,1,"Persons desire the trans-situational-consistency implication of secure knowledge, affording predictability to future contexts.",,Need for Cognitive Closure,,value_orientation
Hedonism,I seek every chance I can to have fun. It is important to me to do things that give me pleasure.,1,Pleasure and sensuous gratification for oneself.,,Openness to Change,,value_orientation
Change,I am a creature of habit.,-1,Likes new and different experiences; dislikes routine and avoids it; may readily change opinions or values in different circumstances; adapts readily to changes in environment.,,Openness to Experience,,value_orientation
Social Astuteness,I can talk others into doing things.,1,"Is skillful at persuading others to achieve a particular goal, sometimes by indirect means ; occasionally seen as manipulative of others, but is ordinarily diplomatic; socially intelligent.",,Opportunistic,,value_orientation
Power,It is important to me to be rich. I want to have a lot of money and expensive things.,1,Control or dominance over people and resources.,,Self-Enhancement ,,value_orientation
Benevolence,It's very important to me to help the people around me. I want to care for their well-being.,1,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,,Self-Transcendence,,value_orientation
Imperturbability,I am easily moved to tears.,-1,The ability to not get upset or worried by a difficult situation,,Stability,,value_orientation
Tolerance,I am open to change.,1,Acceptance and understanding of those who are different from oneself.,,Universalism,,value_orientation
